Aerolinea,Origen,Destino,Tiempo_Promedio
JETSMART AIRLINES S.A.,EZE,CBA,01:05:51
JETSMART AIRLINES S.A.,EZE,CHP,02:08:00
JETSMART AIRLINES S.A.,EZE,CRR,01:13:45
JETSMART AIRLINES S.A.,EZE,CRV,02:05:30
JETSMART AIRLINES S.A.,EZE,DOZ,01:31:22
JETSMART AIRLINES S.A.,EZE,ECA,02:52:48
JETSMART AIRLINES S.A.,EZE,IGU,01:32:49
JETSMART AIRLINES S.A.,EZE,JUJ,01:56:50
JETSMART AIRLINES S.A.,EZE,NEU,01:30:48
JETSMART AIRLINES S.A.,EZE,POS,01:21:00
JETSMART AIRLINES S.A.,EZE,SAL,01:53:03
JETSMART AIRLINES S.A.,EZE,TUC,01:39:52
JETSMART AIRLINES S.A.,EZE,USU,03:15:56
JETSMART AIRLINES S.A.,IGU,AER,01:38:35
JETSMART AIRLINES S.A.,IGU,EZE,01:36:50
JETSMART AIRLINES S.A.,IGU,SAL,01:48:33
JETSMART AIRLINES S.A.,JUJ,AER,01:45:40
JETSMART AIRLINES S.A.,JUJ,EZE,01:47:24
JETSMART AIRLINES S.A.,NEU,AER,01:22:25
JETSMART AIRLINES S.A.,NEU,BAR,00:43:24
JETSMART AIRLINES S.A.,NEU,CHP,00:35:00
JETSMART AIRLINES S.A.,NEU,DOZ,01:03:00
JETSMART AIRLINES S.A.,NEU,EZE,01:16:10
JETSMART AIRLINES S.A.,NEU,ROS,01:18:15
JETSMART AIRLINES S.A.,NEU,SAL,02:09:10
JETSMART AIRLINES S.A.,POS,AER,01:20:52
JETSMART AIRLINES S.A.,POS,EZE,01:22:00
JETSMART AIRLINES S.A.,ROS,BAR,01:55:00
JETSMART AIRLINES S.A.,ROS,NEU,01:27:28
JETSMART AIRLINES S.A.,SAL,AER,01:43:10
JETSMART AIRLINES S.A.,SAL,CBA,01:04:03
JETSMART AIRLINES S.A.,SAL,DOZ,01:24:23
JETSMART AIRLINES S.A.,SAL,EZE,01:40:24
JETSMART AIRLINES S.A.,SAL,IGU,01:26:41
JETSMART AIRLINES S.A.,SAL,NEU,02:12:49
JETSMART AIRLINES S.A.,SAL,TUC,00:29:00
JETSMART AIRLINES S.A.,TUC,AER,01:28:05
JETSMART AIRLINES S.A.,TUC,CBA,00:48:00
JETSMART AIRLINES S.A.,TUC,EZE,01:28:04
JETSMART AIRLINES S.A.,TUC,SAL,00:28:00
JETSMART AIRLINES S.A.,USU,AER,03:07:36
JETSMART AIRLINES S.A.,USU,BAR,02:17:00
JETSMART AIRLINES S.A.,USU,ECA,00:59:30
JETSMART AIRLINES S.A.,USU,EZE,02:59:48
LADE,BAR,ESQ,00:36:00
LADE,CRV,DRY,01:16:00
LADE,CRV,GAL,01:29:00
LADE,CRV,TRE,00:48:00
LADE,DRY,CRV,01:33:00
LADE,ECA,GAL,00:45:53
LADE,GAL,CRV,01:18:00
LADE,GAL,ECA,00:53:13
LADE,GAL,GRA,00:57:43
LADE,GAL,USU,01:28:42
LADE,GRA,GAL,01:04:34
LADE,GRA,USU,00:30:33
LADE,MLG,NEU,01:00:30
LADE,NEU,BCA,01:29:00
LADE,NEU,CRV,01:45:00
LADE,NEU,MLG,01:00:00
LADE,NEU,ROS,02:00:00
LADE,TRE,CRV,00:50:00
LADE,USU,GAL,01:22:36
